﻿표준코드,종목명,발행일,만기일,인포맥스대분류,전일민평,전전일민평,변동,듀레이션,축약,1
KR103501GD65,국고03125-2606(23-4),2023-06-10,2026-06-10,국채,2.647,,,,'23-4,
KR103502G669,국고01875-2606(16-3),2016-06-10,2026-06-10,국채,2.647,,,,'16-3,
KRC0350C2660,국고채이자03620-2606,2010-01-27,2026-06-10,국채,2.663,,,,,
KR103503G667,물가01000-2606(16-5),2016-06-10,2026-06-10,국채,-0.532,,,,'16-5,
KRC035AP2661,국고채원금03620-2606(16-3),2022-05-23,2026-06-10,국채,2.663,,,,,
KRC0353P2662,국고채원금03620-2606(23-4),2023-07-17,2026-06-10,국채,2.663,,,,,
KRC0350C2694,국고채이자03290-2609,2007-04-17,2026-09-10,국채,2.718,2.722,-0.4,0.224,,
KR103503GE96,국고02875-2609(24-9),2024-09-10,2026-09-10,국채,2.738,2.741,-0.3,0.2252,'24-9,
KR103501GB91,국고01750-2609(21-7),2021-09-10,2026-09-10,국채,2.738,2.741,-0.3,0.2252,'21-7,
KRC0355P2694,국고채원금03290-2609(21-7),2024-12-27,2026-09-10,국채,2.718,2.722,-0.4,0.224,,
KR103501GDC8,국고03875-2612(23-10),2023-12-10,2026-12-10,국채,2.958,2.968,-1,0.4712,'23-10,
KRC035AP26C3,국고채원금03580-2612(16-8),2022-09-16,2026-12-10,국채,2.851,2.857,-0.6,0.4662,,
KRC0353P26C6,국고채원금03580-2612(23-10),2024-01-08,2026-12-10,국채,2.851,2.857,-0.6,0.4662,,
KRC0350C26C0,국고채이자03580-2612,2010-01-27,2026-12-10,국채,2.851,2.857,-0.6,0.4662,,
KR103502G6C4,국고01500-2612(16-8),2016-12-10,2026-12-10,국채,2.958,2.968,-1,0.4712,'16-8,
KRC035FP2732,국고채원금03260-2703(07-3),2007-04-17,2027-03-10,국채,3.077,3.09,-1.3,0.7044,,
KRC0350C2736,국고채이자03260-2703,2007-04-17,2027-03-10,국채,3.077,3.09,-1.3,0.7044,,
KRC0355P2736,국고채원금03260-2703(22-1),2024-11-25,2027-03-10,국채,3.077,3.09,-1.3,0.7044,,
KR103501GF30,국고02625-2703(25-1),2025-03-10,2027-03-10,국채,3.173,3.183,-1,0.7105,'25-1,
KR1035037T34,국고05250-2703(07-3),2007-03-10,2027-03-10,국채,3.176,3.186,-1,0.7044,'07-3,
KR103501GC33,국고02375-2703(22-1),2022-03-10,2027-03-10,국채,3.173,3.183,-1,0.7111,'22-1,
KR103502G768,국고02125-2706(17-3),2017-06-10,2027-06-10,국채,3.27,3.295,-2.5,0.9572,'17-3,
KRC0350C2769,국고채이자03540-2706,2010-01-27,2027-06-10,국채,3.228,3.248,-2,0.9475,,
KRC0353P2761,국고채원금03540-2706(24-4),2024-07-02,2027-06-10,국채,3.228,3.248,-2,0.9475,,
KRC035AP2760,국고채원금03540-2706(17-3),2017-12-06,2027-06-10,국채,3.228,3.248,-2,0.9475,,
KR103501GE64,국고03250-2706(24-4),2024-06-10,2027-06-10,국채,3.27,3.295,-2.5,0.9545,'24-4,
KR103501GC90,국고03125-2709(22-8),2022-09-10,2027-09-10,국채,3.445,3.464,-1.9,1.1848,'22-8,
KRC0355P2793,국고채원금03560-2709(22-8),2022-10-27,2027-09-10,국채,3.382,3.4,-1.8,1.1899,,
KRC0350C2793,국고채이자03560-2709,2009-11-25,2027-09-10,국채,3.382,3.4,-1.8,1.1899,,
KR103501GF97,국고02250-2709(25-6),2025-09-10,2027-09-10,국채,3.443,3.464,-2.1,1.191,'25-6,
KRC0350C27C8,국고채이자03500-2712,2010-01-27,2027-12-10,국채,3.465,3.479,-1.4,1.4299,,
KRC035AP27C1,국고채원금03500-2712(17-7),2018-12-04,2027-12-10,국채,3.465,3.479,-1.4,1.4299,,
KR103501GEC6,국고02875-2712(24-12),2024-12-10,2027-12-10,국채,3.473,3.486,-1.3,1.432,'24-12,
KR103502G7C2,국고02375-2712(17-7),2017-12-10,2027-12-10,국채,3.478,3.491,-1.3,1.4355,'17-7,
KRC0353P27C4,국고채원금03500-2712(24-12),2025-02-14,2027-12-10,국채,3.465,3.479,-1.4,1.4299,,
KR103502GG38,국고03000-2803(26-1),2026-03-10,2028-03-10,국채,3.562,3.573,-1.1,1.6546,'26-1,
KRC0350C2835,국고채이자03520-2803,2009-11-25,2028-03-10,국채,3.538,3.549,-1.1,1.667,,
KRC035FP2831,국고채원금03520-2803(08-2),2009-11-25,2028-03-10,국채,3.538,3.549,-1.1,1.667,,
KR103501GD32,국고03250-2803(23-1),2023-03-10,2028-03-10,국채,3.56,3.571,-1.1,1.6512,'23-1,
KR1035027V32,국고05500-2803(08-2),2008-03-10,2028-03-10,국채,3.562,3.573,-1.1,1.6221,'08-2,
KRC0355P2835,국고채원금00000-2803(23-1),2023-01-30,2028-03-10,국채,3.538,3.549,-1.1,1.667,,
KRC0353P2860,국고채원금00000-2806(25-4),2025-05-12,2028-06-10,국채,3.591,3.604,-1.3,1.9095,,
KRC035AP2869,국고채원금00000-2806(18-4),2018-04-16,2028-06-10,국채,3.591,3.604,-1.3,1.9095,,
KRC0350C2868,국고채이자03460-2806,2010-01-27,2028-06-10,국채,3.591,3.604,-1.3,1.9095,,
KR103501GF63,국고02250-2806(25-4),2025-06-10,2028-06-10,국채,3.572,3.591,-1.9,1.9104,'25-4,
KR103502G867,국고02625-2806(18-4),2018-06-10,2028-06-10,국채,3.573,3.593,-2,1.9052,'18-4,
KR103503G865,물가01750-2806(18-5),2018-06-10,2028-06-10,국채,0.349,0.354,-0.5,1.9493,'18-5,
KRC0350C2892,국고채이자01880-2809,2015-10-13,2028-09-10,국채,3.663,3.681,-1.8,2.1513,,
KR103501GD99,국고03500-2809(23-6),2023-09-10,2028-09-10,국채,3.636,3.66,-2.4,2.1053,'23-6,
KRC0355P2892,국고채원금00000-2809(23-6),2023-07-17,2028-09-10,국채,3.663,3.681,-1.8,2.1513,,
KRC0353P28C2,국고채원금00000-2812(25-10),2025-11-10,2028-12-10,국채,3.693,3.717,-2.4,2.3911,,
KRC0350C28C6,국고채이자03430-2812,2010-01-27,2028-12-10,국채,3.693,3.717,-2.4,2.3911,,
KR103502G8C0,국고02375-2812(18-10),2018-12-10,2028-12-10,국채,3.65,3.677,-2.7,2.3757,'18-10,
KRC035AP28C9,국고채원금00000-2812(18-10),2018-10-15,2028-12-10,국채,3.693,3.717,-2.4,2.3911,,
KR103501GFC3,국고02750-2812(25-10),2025-12-10,2028-12-10,국채,3.65,3.677,-2.7,2.3672,'25-10,
KR103501GE31,국고03250-2903(24-1),2024-03-10,2029-03-10,국채,3.705,3.725,-2,2.5625,'24-1,
KRC0350C2934,국고채이자01880-2903,2015-10-13,2029-03-10,국채,3.74,3.759,-1.9,2.6277,,
KRC0355P2934,국고채원금01880-2903(24-1),2024-10-15,2029-03-10,국채,3.74,3.759,-1.9,2.6277,,
KR103502G966,국고01875-2906(19-4),2019-06-10,2029-06-10,국채,3.733,3.75,-1.7,2.8538,'19-4,
KR103501GG62,국고03500-2906(26-5),2026-06-10,2029-06-10,국채,3.7,3.715,-1.5,2.7998,'26-5,
KRC0350C2967,국고채이자03390-2906,2010-01-27,2029-06-10,국채,3.766,3.781,-1.5,2.87,,
KRC0353P2969,국고채원금03390-2906(26-5),2026-06-11,2029-06-10,국채,3.766,3.781,-1.5,2.87,,
KRC035AP2968,국고채원금00000-2906(19-4),2019-04-15,2029-06-10,국채,3.766,3.781,-1.5,2.87,,
KR103501GE98,국고03000-2909(24-7),2024-09-10,2029-09-10,국채,3.766,3.79,-2.4,3.0177,'24-7,
KRC0355P2991,국고채원금00000-2909(24-7),2024-07-22,2029-09-10,국채,3.801,3.817,-1.6,3.1119,,
KRC0350C2991,국고채이자01880-2909,2015-10-13,2029-09-10,국채,3.801,3.817,-1.6,3.1119,,
KRC035AP29C7,국고채원금03350-2912(19-8),2024-12-13,2029-12-10,국채,3.826,3.84,-1.4,3.3512,,
KR103502G9C8,국고01375-2912(19-8),2019-12-10,2029-12-10,국채,3.811,3.829,-1.8,3.3399,'19-8,
KRC0350C29C4,국고채이자03350-2912,2010-01-27,2029-12-10,국채,3.826,3.84,-1.4,3.3512,,
KR1035027WC3,국고05500-2912(09-5),2009-12-10,2029-12-10,국채,3.811,3.829,-1.8,3.1576,'09-5,
KRC035FP29C6,국고채원금03350-2912(09-5),2010-01-27,2029-12-10,국채,3.826,3.84,-1.4,3.3512,,
KRC0350C3031,국고채이자01870-3003,2015-10-13,2030-03-10,국채,3.847,3.859,-1.2,3.588,,
KR103503GF38,국고02625-3003(25-3),2025-03-10,2030-03-10,국채,3.825,3.84,-1.5,3.48,'25-3,
KRC0355P3031,국고채원금00000-3003(25-3),2025-02-24,2030-03-10,국채,3.847,3.859,-1.2,3.588,,
KRC0350C3064,국고채이자03100-3006,2011-01-05,2030-06-10,국채,3.871,3.883,-1.2,3.8298,,
KR103503GA66,물가01125-3006(20-5),2020-06-10,2030-06-10,국채,0.857,0.858,-0.1,3.8846,'20-5,
KRC035AP3065,국고채원금03100-3006(20-4),2025-02-13,2030-06-10,국채,3.871,3.883,-1.2,3.8298,,
KR103502GA67,국고01375-3006(20-4),2020-06-10,2030-06-10,국채,3.849,3.863,-1.4,3.8049,'20-4,
KRC0355P3098,국고채원금00000-3009(25-8),2025-08-25,2030-09-10,국채,3.903,3.915,-1.2,4.0712,,
KRC0350C3098,국고채이자01870-3009,2015-10-13,2030-09-10,국채,3.903,3.915,-1.2,4.0712,,
KR103503GF95,국고02500-3009(25-8),2025-09-10,2030-09-10,국채,3.874,3.89,-1.6,3.9284,'25-8,
KR103502GAC2,국고01500-3012(20-9),2020-12-10,2030-12-10,국채,3.892,3.907,-1.5,4.2549,'20-9,
KR10350270C0,국고04750-3012(10-7),2010-12-10,2030-12-10,국채,3.89,3.905,-1.5,4.0125,'10-7,
KRC035AP30C5,국고채원금03070-3012(20-9),2021-10-14,2030-12-10,국채,3.941,3.955,-1.4,4.3096,,
KRC035FP30C4,국고채원금03070-3012(10-7),2011-01-05,2030-12-10,국채,3.941,3.955,-1.4,4.3096,,
KRC0350C30C2,국고채이자03070-3012,2011-01-05,2030-12-10,국채,3.941,3.955,-1.4,4.3096,,
KRC0350C3130,국고채이자01870-3103,2015-10-13,2031-03-10,국채,3.974,3.988,-1.4,4.5454,,
KR103503GG37,국고03375-3103(26-3),2026-03-10,2031-03-10,국채,3.89,3.905,-1.5,4.2824,'26-3,
KRC0355P3130,국고채원금00000-3103(26-3),2026-02-23,2031-03-10,국채,3.974,3.988,-1.4,4.5454,,
KRC0350C3163,국고채이자02810-3106,2011-12-28,2031-06-10,국채,3.997,4.013,-1.6,4.7868,,
KR103502GB66,국고02000-3106(21-5),2021-06-10,2031-06-10,국채,3.949,3.965,-1.6,4.6564,'21-5,
KRC035AP3164,국고채원금00000-3106(21-5),2021-04-19,2031-06-10,국채,3.997,4.013,-1.6,4.7868,,
KRC0350C3197,국고채이자01860-3109,2015-10-13,2031-09-10,국채,4.002,4.021,-1.9,5.0289,,
KRC035FP31C2,국고채원금02780-3112(11-7),2011-12-28,2031-12-10,국채,4.004,4.026,-2.2,5.2685,,
KRC0350C31C0,국고채이자02780-3112,2011-12-28,2031-12-10,국채,4.004,4.026,-2.2,5.2685,,
