﻿date,instrument,tenor,yield
46185,국고채,0.25,2.753
46185,국고채,0.5,2.985
46185,국고채,0.75,3.216
46185,국고채,1,3.382
46185,국고채,1.5,3.54
46185,국고채,2,3.646
46185,국고채,2.5,3.765
46185,국고채,3,3.79
46185,국고채,4,3.905
46185,국고채,5,3.955
46185,국고채,7,4.101
46185,국고채,10,4.195
46185,국고채,15,4.244
46185,국고채,20,4.293
46185,국고채,30,4.22
46184,국고채,0.25,2.756
46184,국고채,0.5,2.99
46184,국고채,0.75,3.236
46184,국고채,1,3.394
46184,국고채,1.5,3.616
46184,국고채,2,3.743
46184,국고채,2.5,3.858
46184,국고채,3,3.906
46184,국고채,4,4.01
46184,국고채,5,4.08
46184,국고채,7,4.222
46184,국고채,10,4.315
46184,국고채,15,4.361
46184,국고채,20,4.405
46184,국고채,30,4.36
46183,국고채,0.25,2.755
46183,국고채,0.5,2.991
46183,국고채,0.75,3.255
46183,국고채,1,3.407
46183,국고채,1.5,3.597
46183,국고채,2,3.732
46183,국고채,2.5,3.829
46183,국고채,3,3.877
46183,국고채,4,3.983
46183,국고채,5,4.07
46183,국고채,7,4.192
46183,국고채,10,4.265
46183,국고채,15,4.315
46183,국고채,20,4.36
46183,국고채,30,4.31
46182,국고채,0.25,2.648
46182,국고채,0.5,2.766
46182,국고채,0.75,3.006
46182,국고채,1,3.28
46182,국고채,1.5,3.52
46182,국고채,2,3.76
46182,국고채,2.5,3.795
46182,국고채,3,3.86
46182,국고채,4,4.004
46182,국고채,5,4.1
46182,국고채,7,4.196
46182,국고채,10,4.272
46182,국고채,15,4.313
46182,국고채,20,4.345
46182,국고채,30,4.285
46181,국고채,0.25,2.648
46181,국고채,0.5,2.766
46181,국고채,0.75,3.003
46181,국고채,1,3.28
46181,국고채,1.5,3.545
46181,국고채,2,3.83
46181,국고채,2.5,3.861
46181,국고채,3,3.93
46181,국고채,4,4.091
46181,국고채,5,4.18
46181,국고채,7,4.282
46181,국고채,10,4.345
46181,국고채,15,4.376
46181,국고채,20,4.398
46181,국고채,30,4.33
46178,국고채,0.25,2.631
46178,국고채,0.5,2.743
46178,국고채,0.75,2.966
46178,국고채,1,3.235
46178,국고채,1.5,3.5
46178,국고채,2,3.785
46178,국고채,2.5,3.813
46178,국고채,3,3.88
46178,국고채,4,4.038
46178,국고채,5,4.12
46178,국고채,7,4.198
46178,국고채,10,4.252
46178,국고채,15,4.292
46178,국고채,20,4.326
46178,국고채,30,4.265
46177,국고채,0.25,2.631
46177,국고채,0.5,2.748
46177,국고채,0.75,2.968
46177,국고채,1,3.233
46177,국고채,1.5,3.5
46177,국고채,2,3.77
46177,국고채,2.5,3.8
46177,국고채,3,3.86
46177,국고채,4,4.012
